question_ID,question,context1,context2,answer1,answer2,contradictType,samepassage,merged_context,ref_answer,WikipediaArticleTitle,url
222,Was the site of the Carandiru massacre an actual penitentiary?,"The Carandiru massacre (Portuguese: Massacre do Carandiru, Portuguese: [mɐˈsakɾi du kɐɾɐ̃dʒiˈɾu]) occurred on 2 October 1992, in Carandiru Penitentiary in São Paulo, Brazil, when military police stormed the penitentiary following a prison riot. ","The facility at which the Carandiru massacre took place was a detention center, not a penitentiary, meaning that the inmates had not yet been tried or convicted.",Yes,No,Explicit,Different,"The Carandiru massacre (Portuguese: Massacre do Carandiru, Portuguese: [mɐˈsakɾi du kɐɾɐ̃dʒiˈɾu]) occurred on 2 October 1992, in Carandiru Penitentiary in São Paulo, Brazil, when military police stormed the penitentiary following a prison riot. 
The facility at which the Carandiru massacre took place was a detention center, not a penitentiary, meaning that the inmates had not yet been tried or convicted.",Yes|No,Carandiru massacre,https://en.wikipedia.org/wiki/Carandiru_massacre
223,Was the site of the Carandiru massacre a penitentiary or a detention center?,"The Carandiru massacre (Portuguese: Massacre do Carandiru, Portuguese: [mɐˈsakɾi du kɐɾɐ̃dʒiˈɾu]) occurred on 2 October 1992, in Carandiru Penitentiary in São Paulo, Brazil, when military police stormed the penitentiary following a prison riot. ","The facility at which the Carandiru massacre took place was a detention center, not a penitentiary, meaning that the inmates had not yet been tried or convicted.",Penitentiary,Detention center,Explicit,Different,"The Carandiru massacre (Portuguese: Massacre do Carandiru, Portuguese: [mɐˈsakɾi du kɐɾɐ̃dʒiˈɾu]) occurred on 2 October 1992, in Carandiru Penitentiary in São Paulo, Brazil, when military police stormed the penitentiary following a prison riot. 
The facility at which the Carandiru massacre took place was a detention center, not a penitentiary, meaning that the inmates had not yet been tried or convicted.",Penitentiary|Detention center,Carandiru massacre,https://en.wikipedia.org/wiki/Carandiru_massacre
221,At what sort of facility did the Carandiru massacre take place?,"The Carandiru massacre (Portuguese: Massacre do Carandiru, Portuguese: [mɐˈsakɾi du kɐɾɐ̃dʒiˈɾu]) occurred on 2 October 1992, in Carandiru Penitentiary in São Paulo, Brazil, when military police stormed the penitentiary following a prison riot. ","The facility at which the Carandiru massacre took place was a detention center, not a penitentiary, meaning that the inmates had not yet been tried or convicted.",A penitentiary/prison,A detention center,Explicit,Different,"The Carandiru massacre (Portuguese: Massacre do Carandiru, Portuguese: [mɐˈsakɾi du kɐɾɐ̃dʒiˈɾu]) occurred on 2 October 1992, in Carandiru Penitentiary in São Paulo, Brazil, when military police stormed the penitentiary following a prison riot. 
The facility at which the Carandiru massacre took place was a detention center, not a penitentiary, meaning that the inmates had not yet been tried or convicted.",A penitentiary/prison|A detention center,Carandiru massacre,https://en.wikipedia.org/wiki/Carandiru_massacre
225,Is Castle Donington considered to be a town or a village?,"Castle Donington is a market town and civil parish in Leicestershire, England, on the edge of the National Forest and close to East Midlands Airport.","Castle Donington has three primary schools, St Edwards, Foxbridge, and Orchard, the latter serving the majority of the children of the town. Castle Donington College, which welcomed KS4 for the first time in 2017, takes students from ages 11–16 and is the village's only secondary school.",A town,A village,Explicit,Different,"Castle Donington is a market town and civil parish in Leicestershire, England, on the edge of the National Forest and close to East Midlands Airport.
Castle Donington has three primary schools, St Edwards, Foxbridge, and Orchard, the latter serving the majority of the children of the town. Castle Donington College, which welcomed KS4 for the first time in 2017, takes students from ages 11–16 and is the village's only secondary school.",A town|A village,Castle Donington,https://en.wikipedia.org/wiki/Castle_Donington
226,Is Castle Donington considered a town?,"Castle Donington is a market town and civil parish in Leicestershire, England, on the edge of the National Forest and close to East Midlands Airport.","Castle Donington has three primary schools, St Edwards, Foxbridge, and Orchard, the latter serving the majority of the children of the town. Castle Donington College, which welcomed KS4 for the first time in 2017, takes students from ages 11–16 and is the village's only secondary school.",Yes,No,Explicit,Different,"Castle Donington is a market town and civil parish in Leicestershire, England, on the edge of the National Forest and close to East Midlands Airport.
Castle Donington has three primary schools, St Edwards, Foxbridge, and Orchard, the latter serving the majority of the children of the town. Castle Donington College, which welcomed KS4 for the first time in 2017, takes students from ages 11–16 and is the village's only secondary school.",Yes|No,Castle Donington,https://en.wikipedia.org/wiki/Castle_Donington
227,Is Castle Donington considered a village?,"Castle Donington is a market town and civil parish in Leicestershire, England, on the edge of the National Forest and close to East Midlands Airport.","Castle Donington has three primary schools, St Edwards, Foxbridge, and Orchard, the latter serving the majority of the children of the town. Castle Donington College, which welcomed KS4 for the first time in 2017, takes students from ages 11–16 and is the village's only secondary school.",No,Yes,Explicit,Different,"Castle Donington is a market town and civil parish in Leicestershire, England, on the edge of the National Forest and close to East Midlands Airport.
Castle Donington has three primary schools, St Edwards, Foxbridge, and Orchard, the latter serving the majority of the children of the town. Castle Donington College, which welcomed KS4 for the first time in 2017, takes students from ages 11–16 and is the village's only secondary school.",No|Yes,Castle Donington,https://en.wikipedia.org/wiki/Castle_Donington
224,What is Castle Donington?,"Castle Donington is a market town and civil parish in Leicestershire, England, on the edge of the National Forest and close to East Midlands Airport.","Castle Donington has three primary schools, St Edwards, Foxbridge, and Orchard, the latter serving the majority of the children of the town. Castle Donington College, which welcomed KS4 for the first time in 2017, takes students from ages 11–16 and is the village's only secondary school.","A town, market town or civil parish",A village,Explicit,Different,"Castle Donington is a market town and civil parish in Leicestershire, England, on the edge of the National Forest and close to East Midlands Airport.
Castle Donington has three primary schools, St Edwards, Foxbridge, and Orchard, the latter serving the majority of the children of the town. Castle Donington College, which welcomed KS4 for the first time in 2017, takes students from ages 11–16 and is the village's only secondary school.","A town, market town or civil parish|A village",Castle Donington,https://en.wikipedia.org/wiki/Castle_Donington
229,Was the total distance of the 1920 Volta a Catalunya less than 615 km (382 mi)?,"Stage,	Date,	Course,	Distance,	Winner | 1 (A),	24 September,	Barcelona to Olot,	157 km (98 mi),	 José Pelletier (FRA) | 1 (A),	24 September,	Olot to Tona,	83 km (52 mi),	 José Pelletier (FRA) | 2,	25 September,	Tona to Lleida,	181 km (112 mi),	 José Pelletier (FRA) | 3 (A),	26 September,	Lleida to Tarragona,	91 km (57 mi),	 José Pelletier (FRA) | 3 (B),	26 September,	Tarragona to Barcelona,	95 km (59 mi),	 José Nat (FRA) || Total distance of 1920 Volta a Catalunya:	607 km (377 mi)","1920 Volta a Catalunya Race details: Dates:	24–26 September 1920,  Stages:	3,  Distance:	630km (391.5 mi),  Winning time:	23h 55' 16"",  Results:  	Winner	 José Pelletier (FRA)  	Second	 José Nat (FRA)  	Third	 Jaume Janer (ESP)",Yes,No,Explicit,Different,"Stage,	Date,	Course,	Distance,	Winner | 1 (A),	24 September,	Barcelona to Olot,	157 km (98 mi),	 José Pelletier (FRA) | 1 (A),	24 September,	Olot to Tona,	83 km (52 mi),	 José Pelletier (FRA) | 2,	25 September,	Tona to Lleida,	181 km (112 mi),	 José Pelletier (FRA) | 3 (A),	26 September,	Lleida to Tarragona,	91 km (57 mi),	 José Pelletier (FRA) | 3 (B),	26 September,	Tarragona to Barcelona,	95 km (59 mi),	 José Nat (FRA) || Total distance of 1920 Volta a Catalunya:	607 km (377 mi)
1920 Volta a Catalunya Race details: Dates:	24–26 September 1920,  Stages:	3,  Distance:	630km (391.5 mi),  Winning time:	23h 55' 16"",  Results:  	Winner	 José Pelletier (FRA)  	Second	 José Nat (FRA)  	Third	 Jaume Janer (ESP)",Yes|No,1920 Volta a Catalunya,https://en.wikipedia.org/wiki/1920_Volta_a_Catalunya
230,Was the total distance of the 1920 Volta a Catalunya greater than 615 km (382 mi)?,"Stage,	Date,	Course,	Distance,	Winner | 1 (A),	24 September,	Barcelona to Olot,	157 km (98 mi),	 José Pelletier (FRA) | 1 (A),	24 September,	Olot to Tona,	83 km (52 mi),	 José Pelletier (FRA) | 2,	25 September,	Tona to Lleida,	181 km (112 mi),	 José Pelletier (FRA) | 3 (A),	26 September,	Lleida to Tarragona,	91 km (57 mi),	 José Pelletier (FRA) | 3 (B),	26 September,	Tarragona to Barcelona,	95 km (59 mi),	 José Nat (FRA) || Total distance of 1920 Volta a Catalunya:	607 km (377 mi)","1920 Volta a Catalunya Race details: Dates:	24–26 September 1920,  Stages:	3,  Distance:	630km (391.5 mi),  Winning time:	23h 55' 16"",  Results:  	Winner	 José Pelletier (FRA)  	Second	 José Nat (FRA)  	Third	 Jaume Janer (ESP)",No,Yes,Explicit,Different,"Stage,	Date,	Course,	Distance,	Winner | 1 (A),	24 September,	Barcelona to Olot,	157 km (98 mi),	 José Pelletier (FRA) | 1 (A),	24 September,	Olot to Tona,	83 km (52 mi),	 José Pelletier (FRA) | 2,	25 September,	Tona to Lleida,	181 km (112 mi),	 José Pelletier (FRA) | 3 (A),	26 September,	Lleida to Tarragona,	91 km (57 mi),	 José Pelletier (FRA) | 3 (B),	26 September,	Tarragona to Barcelona,	95 km (59 mi),	 José Nat (FRA) || Total distance of 1920 Volta a Catalunya:	607 km (377 mi)
1920 Volta a Catalunya Race details: Dates:	24–26 September 1920,  Stages:	3,  Distance:	630km (391.5 mi),  Winning time:	23h 55' 16"",  Results:  	Winner	 José Pelletier (FRA)  	Second	 José Nat (FRA)  	Third	 Jaume Janer (ESP)",No|Yes,1920 Volta a Catalunya,https://en.wikipedia.org/wiki/1920_Volta_a_Catalunya
228,What was the total distance of the 1920 Volta a Catalunya?,"Stage,	Date,	Course,	Distance,	Winner | 1 (A),	24 September,	Barcelona to Olot,	157 km (98 mi),	 José Pelletier (FRA) | 1 (A),	24 September,	Olot to Tona,	83 km (52 mi),	 José Pelletier (FRA) | 2,	25 September,	Tona to Lleida,	181 km (112 mi),	 José Pelletier (FRA) | 3 (A),	26 September,	Lleida to Tarragona,	91 km (57 mi),	 José Pelletier (FRA) | 3 (B),	26 September,	Tarragona to Barcelona,	95 km (59 mi),	 José Nat (FRA) || Total distance of 1920 Volta a Catalunya:	607 km (377 mi)","1920 Volta a Catalunya Race details: Dates:	24–26 September 1920,  Stages:	3,  Distance:	630km (391.5 mi),  Winning time:	23h 55' 16"",  Results:  	Winner	 José Pelletier (FRA)  	Second	 José Nat (FRA)  	Third	 Jaume Janer (ESP)",607 km (377 mi),630 km (391.5 mi),Explicit,Different,"Stage,	Date,	Course,	Distance,	Winner | 1 (A),	24 September,	Barcelona to Olot,	157 km (98 mi),	 José Pelletier (FRA) | 1 (A),	24 September,	Olot to Tona,	83 km (52 mi),	 José Pelletier (FRA) | 2,	25 September,	Tona to Lleida,	181 km (112 mi),	 José Pelletier (FRA) | 3 (A),	26 September,	Lleida to Tarragona,	91 km (57 mi),	 José Pelletier (FRA) | 3 (B),	26 September,	Tarragona to Barcelona,	95 km (59 mi),	 José Nat (FRA) || Total distance of 1920 Volta a Catalunya:	607 km (377 mi)
1920 Volta a Catalunya Race details: Dates:	24–26 September 1920,  Stages:	3,  Distance:	630km (391.5 mi),  Winning time:	23h 55' 16"",  Results:  	Winner	 José Pelletier (FRA)  	Second	 José Nat (FRA)  	Third	 Jaume Janer (ESP)",607 km (377 mi)|630 km (391.5 mi),1920 Volta a Catalunya,https://en.wikipedia.org/wiki/1920_Volta_a_Catalunya
232,Was the total distance of the 1927 Volta a Catalunya less than 1337 km (831 mi)?,"Stage,	Date,	Course,	Distance,	Winner | 1,	28 August,	Barcelona to Tortosa,	213 km (132 mi),	 Maurice Ville (FRA) | 2,	29 August,	Tortosa to Reus,	204 km (127 mi),	 Ferdinand Le Drogo (FRA) | 3,	30 August,	Reus to Igualada,	189 km (117 mi),	 Victor Fontan (FRA) | 4,	31 August,	Igualada to Vic,	191 km (119 mi),	 Georges Cuvelier (FRA) | 5,	1 September,	Vic to Banyoles,	122 km (76 mi),	 Georges Cuvelier (FRA) | 6,	2 September,	Banyoles to Sant Feliu de Guíxols,	163 km (101 mi),	 Ferdinand Le Drogo (FRA) | 7,	3 September,	Sant Feliu de Guíxols to Caldes d'Estrac,	121 km (75 mi),	 Georges Cuvelier (FRA) | 8,	4 September,	Caldes d'Estrac to Barcelona,	130 km (81 mi),	 Victor Fontan (FRA) | Total distance of 1927 Volta a Catalunya:	1,333 km (828 mi)","1927 Volta a Catalunya Race details Dates:	28 August–4 September 1927 Stages:	8 Distance:	1,342[1] km (833.9 mi) Winning time:	51h 03' 34"" Results:  	Winner	 Victor Fontan (FRA)  	Second	 Mariano Cañardo (ESP)  	Third	 Georges Cuvelier (FRA)",Yes,No,Explicit,Different,"Stage,	Date,	Course,	Distance,	Winner | 1,	28 August,	Barcelona to Tortosa,	213 km (132 mi),	 Maurice Ville (FRA) | 2,	29 August,	Tortosa to Reus,	204 km (127 mi),	 Ferdinand Le Drogo (FRA) | 3,	30 August,	Reus to Igualada,	189 km (117 mi),	 Victor Fontan (FRA) | 4,	31 August,	Igualada to Vic,	191 km (119 mi),	 Georges Cuvelier (FRA) | 5,	1 September,	Vic to Banyoles,	122 km (76 mi),	 Georges Cuvelier (FRA) | 6,	2 September,	Banyoles to Sant Feliu de Guíxols,	163 km (101 mi),	 Ferdinand Le Drogo (FRA) | 7,	3 September,	Sant Feliu de Guíxols to Caldes d'Estrac,	121 km (75 mi),	 Georges Cuvelier (FRA) | 8,	4 September,	Caldes d'Estrac to Barcelona,	130 km (81 mi),	 Victor Fontan (FRA) | Total distance of 1927 Volta a Catalunya:	1,333 km (828 mi)
1927 Volta a Catalunya Race details Dates:	28 August–4 September 1927 Stages:	8 Distance:	1,342[1] km (833.9 mi) Winning time:	51h 03' 34"" Results:  	Winner	 Victor Fontan (FRA)  	Second	 Mariano Cañardo (ESP)  	Third	 Georges Cuvelier (FRA)",Yes|No,1927 Volta a Catalunya,https://en.wikipedia.org/wiki/1927_Volta_a_Catalunya
233,Was the total distance of the 1927 Volta a Catalunya greater than 1337 km (831 mi)?,"Stage,	Date,	Course,	Distance,	Winner | 1,	28 August,	Barcelona to Tortosa,	213 km (132 mi),	 Maurice Ville (FRA) | 2,	29 August,	Tortosa to Reus,	204 km (127 mi),	 Ferdinand Le Drogo (FRA) | 3,	30 August,	Reus to Igualada,	189 km (117 mi),	 Victor Fontan (FRA) | 4,	31 August,	Igualada to Vic,	191 km (119 mi),	 Georges Cuvelier (FRA) | 5,	1 September,	Vic to Banyoles,	122 km (76 mi),	 Georges Cuvelier (FRA) | 6,	2 September,	Banyoles to Sant Feliu de Guíxols,	163 km (101 mi),	 Ferdinand Le Drogo (FRA) | 7,	3 September,	Sant Feliu de Guíxols to Caldes d'Estrac,	121 km (75 mi),	 Georges Cuvelier (FRA) | 8,	4 September,	Caldes d'Estrac to Barcelona,	130 km (81 mi),	 Victor Fontan (FRA) | Total distance of 1927 Volta a Catalunya:	1,333 km (828 mi)","1927 Volta a Catalunya Race details Dates:	28 August–4 September 1927 Stages:	8 Distance:	1,342[1] km (833.9 mi) Winning time:	51h 03' 34"" Results:  	Winner	 Victor Fontan (FRA)  	Second	 Mariano Cañardo (ESP)  	Third	 Georges Cuvelier (FRA)",No,Yes,Explicit,Different,"Stage,	Date,	Course,	Distance,	Winner | 1,	28 August,	Barcelona to Tortosa,	213 km (132 mi),	 Maurice Ville (FRA) | 2,	29 August,	Tortosa to Reus,	204 km (127 mi),	 Ferdinand Le Drogo (FRA) | 3,	30 August,	Reus to Igualada,	189 km (117 mi),	 Victor Fontan (FRA) | 4,	31 August,	Igualada to Vic,	191 km (119 mi),	 Georges Cuvelier (FRA) | 5,	1 September,	Vic to Banyoles,	122 km (76 mi),	 Georges Cuvelier (FRA) | 6,	2 September,	Banyoles to Sant Feliu de Guíxols,	163 km (101 mi),	 Ferdinand Le Drogo (FRA) | 7,	3 September,	Sant Feliu de Guíxols to Caldes d'Estrac,	121 km (75 mi),	 Georges Cuvelier (FRA) | 8,	4 September,	Caldes d'Estrac to Barcelona,	130 km (81 mi),	 Victor Fontan (FRA) | Total distance of 1927 Volta a Catalunya:	1,333 km (828 mi)
1927 Volta a Catalunya Race details Dates:	28 August–4 September 1927 Stages:	8 Distance:	1,342[1] km (833.9 mi) Winning time:	51h 03' 34"" Results:  	Winner	 Victor Fontan (FRA)  	Second	 Mariano Cañardo (ESP)  	Third	 Georges Cuvelier (FRA)",No|Yes,1927 Volta a Catalunya,https://en.wikipedia.org/wiki/1927_Volta_a_Catalunya
231,What was the total distance of the 1927 Volta a Catalunya?,"Stage,	Date,	Course,	Distance,	Winner | 1,	28 August,	Barcelona to Tortosa,	213 km (132 mi),	 Maurice Ville (FRA) | 2,	29 August,	Tortosa to Reus,	204 km (127 mi),	 Ferdinand Le Drogo (FRA) | 3,	30 August,	Reus to Igualada,	189 km (117 mi),	 Victor Fontan (FRA) | 4,	31 August,	Igualada to Vic,	191 km (119 mi),	 Georges Cuvelier (FRA) | 5,	1 September,	Vic to Banyoles,	122 km (76 mi),	 Georges Cuvelier (FRA) | 6,	2 September,	Banyoles to Sant Feliu de Guíxols,	163 km (101 mi),	 Ferdinand Le Drogo (FRA) | 7,	3 September,	Sant Feliu de Guíxols to Caldes d'Estrac,	121 km (75 mi),	 Georges Cuvelier (FRA) | 8,	4 September,	Caldes d'Estrac to Barcelona,	130 km (81 mi),	 Victor Fontan (FRA) | Total distance of 1927 Volta a Catalunya:	1,333 km (828 mi)","1927 Volta a Catalunya Race details Dates:	28 August–4 September 1927 Stages:	8 Distance:	1,342[1] km (833.9 mi) Winning time:	51h 03' 34"" Results:  	Winner	 Victor Fontan (FRA)  	Second	 Mariano Cañardo (ESP)  	Third	 Georges Cuvelier (FRA)","1,333 km (828 mi)","1,342 km (833.9 mi)",Explicit,Different,"Stage,	Date,	Course,	Distance,	Winner | 1,	28 August,	Barcelona to Tortosa,	213 km (132 mi),	 Maurice Ville (FRA) | 2,	29 August,	Tortosa to Reus,	204 km (127 mi),	 Ferdinand Le Drogo (FRA) | 3,	30 August,	Reus to Igualada,	189 km (117 mi),	 Victor Fontan (FRA) | 4,	31 August,	Igualada to Vic,	191 km (119 mi),	 Georges Cuvelier (FRA) | 5,	1 September,	Vic to Banyoles,	122 km (76 mi),	 Georges Cuvelier (FRA) | 6,	2 September,	Banyoles to Sant Feliu de Guíxols,	163 km (101 mi),	 Ferdinand Le Drogo (FRA) | 7,	3 September,	Sant Feliu de Guíxols to Caldes d'Estrac,	121 km (75 mi),	 Georges Cuvelier (FRA) | 8,	4 September,	Caldes d'Estrac to Barcelona,	130 km (81 mi),	 Victor Fontan (FRA) | Total distance of 1927 Volta a Catalunya:	1,333 km (828 mi)
1927 Volta a Catalunya Race details Dates:	28 August–4 September 1927 Stages:	8 Distance:	1,342[1] km (833.9 mi) Winning time:	51h 03' 34"" Results:  	Winner	 Victor Fontan (FRA)  	Second	 Mariano Cañardo (ESP)  	Third	 Georges Cuvelier (FRA)","1,333 km (828 mi)|1,342 km (833.9 mi)",1927 Volta a Catalunya,https://en.wikipedia.org/wiki/1927_Volta_a_Catalunya
235,Did the Spanish Empire have 59 deads in the Battle of Martín García?,"In the first and bloodiest day (10th March 1814) of the Combate of Martín García, Jacinto de Romarate (frigate captain of Spanish royalist forces) successfully repelled the enemy's (forces of the United Provinces of the Río de la Plata) attack. They had 45 dead and 50 wounded. At 5:00 pm on 11th March 1814, Jacinto de Romarate sent a note to the commander of the Montevideo garrison Miguel de la Sierra (Spanish royalist), informing he had few casualties, four dead and seven wounded, he had disembarked on the island and judged that, given the losses suffered, as soon as the patriot fleet was in condition it would retreat to Buenos Aires. On 15th March 1814, the royalists had 10 dead, 7 wounded and 50 prisoners.","The Spanish Empire had 10 dead, 47 prisoners and 17 wounded in the Battle of Martín García.",Yes,No,Implicit (reasoning required),Different,"In the first and bloodiest day (10th March 1814) of the Combate of Martín García, Jacinto de Romarate (frigate captain of Spanish royalist forces) successfully repelled the enemy's (forces of the United Provinces of the Río de la Plata) attack. They had 45 dead and 50 wounded. At 5:00 pm on 11th March 1814, Jacinto de Romarate sent a note to the commander of the Montevideo garrison Miguel de la Sierra (Spanish royalist), informing he had few casualties, four dead and seven wounded, he had disembarked on the island and judged that, given the losses suffered, as soon as the patriot fleet was in condition it would retreat to Buenos Aires. On 15th March 1814, the royalists had 10 dead, 7 wounded and 50 prisoners.
The Spanish Empire had 10 dead, 47 prisoners and 17 wounded in the Battle of Martín García.",Yes|No,Battle of Martín García,https://en.wikipedia.org/wiki/Battle_of_Martín_García
236,How many prisoners did the Spanish Empire have in the Battle of Martín García?,"In the first and bloodiest day (10th March 1814) of the Combate of Martín García, Jacinto de Romarate (frigate captain of Spanish royalist forces) successfully repelled the enemy's (forces of the United Provinces of the Río de la Plata) attack. They had 45 dead and 50 wounded. At 5:00 pm on 11th March 1814, Jacinto de Romarate sent a note to the commander of the Montevideo garrison Miguel de la Sierra (Spanish royalist), informing he had few casualties, four dead and seven wounded, he had disembarked on the island and judged that, given the losses suffered, as soon as the patriot fleet was in condition it would retreat to Buenos Aires. On 15th March 1814, the royalists had 10 dead, 7 wounded and 50 prisoners.","The Spanish Empire had 10 dead, 47 prisoners and 17 wounded in the Battle of Martín García.",50,47,Implicit (reasoning required),Different,"In the first and bloodiest day (10th March 1814) of the Combate of Martín García, Jacinto de Romarate (frigate captain of Spanish royalist forces) successfully repelled the enemy's (forces of the United Provinces of the Río de la Plata) attack. They had 45 dead and 50 wounded. At 5:00 pm on 11th March 1814, Jacinto de Romarate sent a note to the commander of the Montevideo garrison Miguel de la Sierra (Spanish royalist), informing he had few casualties, four dead and seven wounded, he had disembarked on the island and judged that, given the losses suffered, as soon as the patriot fleet was in condition it would retreat to Buenos Aires. On 15th March 1814, the royalists had 10 dead, 7 wounded and 50 prisoners.
The Spanish Empire had 10 dead, 47 prisoners and 17 wounded in the Battle of Martín García.",50|47,Battle of Martín García,https://en.wikipedia.org/wiki/Battle_of_Martín_García
237,Did the Spanish Empire have 50 prisoners in the Battle of Martín García?,"In the first and bloodiest day (10th March 1814) of the Combate of Martín García, Jacinto de Romarate (frigate captain of Spanish royalist forces) successfully repelled the enemy's (forces of the United Provinces of the Río de la Plata) attack. They had 45 dead and 50 wounded. At 5:00 pm on 11th March 1814, Jacinto de Romarate sent a note to the commander of the Montevideo garrison Miguel de la Sierra (Spanish royalist), informing he had few casualties, four dead and seven wounded, he had disembarked on the island and judged that, given the losses suffered, as soon as the patriot fleet was in condition it would retreat to Buenos Aires. On 15th March 1814, the royalists had 10 dead, 7 wounded and 50 prisoners.","The Spanish Empire had 10 dead, 47 prisoners and 17 wounded in the Battle of Martín García.",Yes,No,Implicit (reasoning required),Different,"In the first and bloodiest day (10th March 1814) of the Combate of Martín García, Jacinto de Romarate (frigate captain of Spanish royalist forces) successfully repelled the enemy's (forces of the United Provinces of the Río de la Plata) attack. They had 45 dead and 50 wounded. At 5:00 pm on 11th March 1814, Jacinto de Romarate sent a note to the commander of the Montevideo garrison Miguel de la Sierra (Spanish royalist), informing he had few casualties, four dead and seven wounded, he had disembarked on the island and judged that, given the losses suffered, as soon as the patriot fleet was in condition it would retreat to Buenos Aires. On 15th March 1814, the royalists had 10 dead, 7 wounded and 50 prisoners.
The Spanish Empire had 10 dead, 47 prisoners and 17 wounded in the Battle of Martín García.",Yes|No,Battle of Martín García,https://en.wikipedia.org/wiki/Battle_of_Martín_García
238,How many wounded did the Spanish Empire have in the Battle of Martín García?,"In the first and bloodiest day (10th March 1814) of the Combate of Martín García, Jacinto de Romarate (frigate captain of Spanish royalist forces) successfully repelled the enemy's (forces of the United Provinces of the Río de la Plata) attack. They had 45 dead and 50 wounded. At 5:00 pm on 11th March 1814, Jacinto de Romarate sent a note to the commander of the Montevideo garrison Miguel de la Sierra (Spanish royalist), informing he had few casualties, four dead and seven wounded, he had disembarked on the island and judged that, given the losses suffered, as soon as the patriot fleet was in condition it would retreat to Buenos Aires. On 15th March 1814, the royalists had 10 dead, 7 wounded and 50 prisoners.","The Spanish Empire had 10 dead, 47 prisoners and 17 wounded in the Battle of Martín García.",64,17,Implicit (reasoning required),Different,"In the first and bloodiest day (10th March 1814) of the Combate of Martín García, Jacinto de Romarate (frigate captain of Spanish royalist forces) successfully repelled the enemy's (forces of the United Provinces of the Río de la Plata) attack. They had 45 dead and 50 wounded. At 5:00 pm on 11th March 1814, Jacinto de Romarate sent a note to the commander of the Montevideo garrison Miguel de la Sierra (Spanish royalist), informing he had few casualties, four dead and seven wounded, he had disembarked on the island and judged that, given the losses suffered, as soon as the patriot fleet was in condition it would retreat to Buenos Aires. On 15th March 1814, the royalists had 10 dead, 7 wounded and 50 prisoners.
The Spanish Empire had 10 dead, 47 prisoners and 17 wounded in the Battle of Martín García.",64|17,Battle of Martín García,https://en.wikipedia.org/wiki/Battle_of_Martín_García
239,Did the Spanish Empire have 64 wounded in the Battle of Martín García?,"In the first and bloodiest day (10th March 1814) of the Combate of Martín García, Jacinto de Romarate (frigate captain of Spanish royalist forces) successfully repelled the enemy's (forces of the United Provinces of the Río de la Plata) attack. They had 45 dead and 50 wounded. At 5:00 pm on 11th March 1814, Jacinto de Romarate sent a note to the commander of the Montevideo garrison Miguel de la Sierra (Spanish royalist), informing he had few casualties, four dead and seven wounded, he had disembarked on the island and judged that, given the losses suffered, as soon as the patriot fleet was in condition it would retreat to Buenos Aires. On 15th March 1814, the royalists had 10 dead, 7 wounded and 50 prisoners.","The Spanish Empire had 10 dead, 47 prisoners and 17 wounded in the Battle of Martín García.",Yes,No,Implicit (reasoning required),Different,"In the first and bloodiest day (10th March 1814) of the Combate of Martín García, Jacinto de Romarate (frigate captain of Spanish royalist forces) successfully repelled the enemy's (forces of the United Provinces of the Río de la Plata) attack. They had 45 dead and 50 wounded. At 5:00 pm on 11th March 1814, Jacinto de Romarate sent a note to the commander of the Montevideo garrison Miguel de la Sierra (Spanish royalist), informing he had few casualties, four dead and seven wounded, he had disembarked on the island and judged that, given the losses suffered, as soon as the patriot fleet was in condition it would retreat to Buenos Aires. On 15th March 1814, the royalists had 10 dead, 7 wounded and 50 prisoners.
The Spanish Empire had 10 dead, 47 prisoners and 17 wounded in the Battle of Martín García.",Yes|No,Battle of Martín García,https://en.wikipedia.org/wiki/Battle_of_Martín_García
240,How many dead and wounded did the Spanish Empire have in the Battle of Martín García?,"In the first and bloodiest day (10th March 1814) of the Combate of Martín García, Jacinto de Romarate (frigate captain of Spanish royalist forces) successfully repelled the enemy's (forces of the United Provinces of the Río de la Plata) attack. They had 45 dead and 50 wounded. At 5:00 pm on 11th March 1814, Jacinto de Romarate sent a note to the commander of the Montevideo garrison Miguel de la Sierra (Spanish royalist), informing he had few casualties, four dead and seven wounded, he had disembarked on the island and judged that, given the losses suffered, as soon as the patriot fleet was in condition it would retreat to Buenos Aires. On 15th March 1814, the royalists had 10 dead, 7 wounded and 50 prisoners.","The Spanish Empire had 10 dead, 47 prisoners and 17 wounded in the Battle of Martín García.",59 dead and 64 wounded,10 dead and 17 wounded,Implicit (reasoning required),Different,"In the first and bloodiest day (10th March 1814) of the Combate of Martín García, Jacinto de Romarate (frigate captain of Spanish royalist forces) successfully repelled the enemy's (forces of the United Provinces of the Río de la Plata) attack. They had 45 dead and 50 wounded. At 5:00 pm on 11th March 1814, Jacinto de Romarate sent a note to the commander of the Montevideo garrison Miguel de la Sierra (Spanish royalist), informing he had few casualties, four dead and seven wounded, he had disembarked on the island and judged that, given the losses suffered, as soon as the patriot fleet was in condition it would retreat to Buenos Aires. On 15th March 1814, the royalists had 10 dead, 7 wounded and 50 prisoners.
The Spanish Empire had 10 dead, 47 prisoners and 17 wounded in the Battle of Martín García.",59 dead and 64 wounded|10 dead and 17 wounded,Battle of Martín García,https://en.wikipedia.org/wiki/Battle_of_Martín_García
